path,chapters,purpose,status
.claude/settings.json,18,Claude Code settings,implemented
.codex/skills/clipkit/SKILL.md,14;Resource Pack,"Repository orientation, configuration, or support file",implemented
.env.example,14;Resource Pack,"Repository orientation, configuration, or support file",implemented
.gitignore,14;Resource Pack,"Repository orientation, configuration, or support file",implemented
AGENTS.md,17,Codex project instructions,implemented
CHANGELOG.md,14;Resource Pack,"Repository orientation, configuration, or support file",implemented
CLAUDE.md,18,Claude Code project instructions,implemented
LICENSE,14;Resource Pack,"Repository orientation, configuration, or support file",implemented
LOCAL_RELEASE_MANIFEST.md,14;Resource Pack,"Repository orientation, configuration, or support file",implemented
Makefile,14;Resource Pack,"Repository orientation, configuration, or support file",implemented
README.md,14;Resource Pack,"Repository orientation, configuration, or support file",implemented
REPOSITORY_MANIFEST.csv,14;Resource Pack,"Repository orientation, configuration, or support file",implemented
SECURITY.md,14;Resource Pack,"Repository orientation, configuration, or support file",implemented
clipkit.example.toml,14;Resource Pack,"Repository orientation, configuration, or support file",implemented
docs/authorized-downloads.md,14;19;Resource Pack,Installation and operational reference,documented
docs/beginner-walkthrough.md,14;19;Resource Pack,Installation and operational reference,documented
docs/book-commands/chapter-11.md,11,Exact chapter commands,documented
docs/book-commands/chapter-14.md,14,Exact chapter commands,documented
docs/book-commands/chapter-15-powershell.md,15,Exact chapter commands,documented
docs/book-commands/chapter-15.md,15,Exact chapter commands,documented
docs/book-commands/chapter-16.md,16,Exact chapter commands,documented
docs/book-commands/chapter-17.md,17,Exact chapter commands,documented
docs/book-commands/chapter-18.md,18,Exact chapter commands,documented
docs/book-commands/chapter-19.md,19,Exact chapter commands,documented
docs/book-commands/chapter-26.md,26,Exact chapter commands,documented
docs/book-commands/chapter-28-powershell.md,Resource Pack,Exact chapter commands,documented
docs/book-commands/chapter-28.md,Resource Pack,Exact chapter commands,documented
docs/business-model-responsibilities.md,14;19;Resource Pack,Installation and operational reference,documented
docs/case-study-evidence-rules.md,14;19;Resource Pack,Installation and operational reference,documented
docs/claude-code-workflow.md,18,Claude Code workflow documentation,documented
docs/clipping-ecosystem.md,14;19;Resource Pack,Installation and operational reference,documented
docs/codex-workflow.md,17,Codex workflow documentation,documented
docs/commands.md,14;19;Resource Pack,Installation and operational reference,documented
docs/configuration.md,14;19;Resource Pack,Installation and operational reference,documented
docs/data-contracts.md,14;19;Resource Pack,Installation and operational reference,documented
docs/examples.md,14;19;Resource Pack,Installation and operational reference,documented
docs/ffmpeg-commands.md,14;15;16,FFmpeg setup and recipes,documented
docs/ffmpeg-one-pass-lab.md,15,Exact combined cut crop probe and decode exercise,documented
docs/ffmpeg.md,14;15;16,FFmpeg setup and recipes,documented
docs/file-organization.md,26,Organize multi-creator jobs,documented
docs/folder-structure.md,14;19;Resource Pack,Installation and operational reference,documented
docs/installation.md,14;19;Resource Pack,Installation and operational reference,documented
docs/macos-install.md,14;19;Resource Pack,Installation and operational reference,documented
docs/niche-risk-notes.md,14;19;Resource Pack,Installation and operational reference,documented
docs/output-naming.md,26,Output-name rules,documented
docs/pipeline.md,19,Pipeline and recovery instructions,documented
docs/publishing-boundary.md,14;19;Resource Pack,Installation and operational reference,documented
docs/releases.md,14;19;Resource Pack,Installation and operational reference,documented
docs/required-software.md,14;19;Resource Pack,Installation and operational reference,documented
docs/reset-ffmpeg-lab.md,14;19;Resource Pack,Installation and operational reference,documented
docs/security.md,14;19;Resource Pack,Installation and operational reference,documented
docs/setup-checks.md,14,Exact four-layer setup diagnostics,documented
docs/speaker-detection.md,11,Speaker-label checks,documented
docs/transcription.md,11;16,Local transcription setup,documented
docs/troubleshooting.md,14;19;Resource Pack,Installation and operational reference,documented
docs/update-policy.md,14;19;Resource Pack,Installation and operational reference,documented
docs/volatile-platform-facts.md,14;19;Resource Pack,Installation and operational reference,documented
docs/windows-install.md,14;19;Resource Pack,Installation and operational reference,documented
docs/yt-dlp.md,16,yt-dlp setup and source preparation,documented
examples/agent-clip-plan/README.md,17;18,Checked moments planner and isolated clock-repair lab,implemented
examples/agent-clip-plan/clip_plan.py,17;18,Checked moments planner and isolated clock-repair lab,implemented
examples/agent-clip-plan/moments-clock.csv,17;18,Checked moments planner and isolated clock-repair lab,implemented
examples/agent-clip-plan/moments.csv,17;18,Checked moments planner and isolated clock-repair lab,implemented
examples/agent-clip-plan/prepare_repair.py,17;18,Checked moments planner and isolated clock-repair lab,implemented
examples/agent-clip-plan/repair_checks.py,17;18,Checked moments planner and isolated clock-repair lab,implemented
examples/agent-task-claude/README.md,18,Claude Code practice task,implemented
examples/agent-task-codex/README.md,17,Codex practice task,implemented
examples/agent-task-codex/reference/clip_name.py,17,Codex practice task,implemented
examples/ai-benchmark/README.md,6;13;15;16;19,Adaptable source-format example,implemented
examples/ai-benchmark/acceptance-criteria.yaml,6;13;15;16;19,Adaptable source-format example,implemented
examples/ai-benchmark/expected-review.csv,6;13;15;16;19,Adaptable source-format example,implemented
examples/analytics-synthetic/README.md,25,Synthetic analytics exercise,implemented
examples/analytics-synthetic/practice-results.csv,25,Synthetic analytics exercise,implemented
examples/audio-podcast/README.md,6;13;15;16;19,Adaptable source-format example,implemented
examples/batch-fixtures/README.md,6;13;15;16;19,Adaptable source-format example,implemented
examples/batch-fixtures/five-item-repaired.csv,6;13;15;16;19,Adaptable source-format example,implemented
examples/batch-fixtures/five-item-with-failure.csv,6;13;15;16;19,Adaptable source-format example,implemented
examples/batch-production/README.md,16;26,Batch production exercise,implemented
examples/batch-production/manifest.csv,16;26,Batch production exercise,implemented
examples/brand-system/README.md,6;13;15;16;19,Adaptable source-format example,implemented
examples/case-studies/claim-audit-example.md,6;13;15;16;19,Adaptable source-format example,implemented
examples/case-studies/redacted-example.md,6;13;15;16;19,Adaptable source-format example,implemented
examples/clip-room/transcript.txt,11;12;13,Fictional transcript-style text exercise,implemented
examples/clip-structure/three-versions.md,2;5,Three-version editing and paper-edit exercise,implemented
examples/editorial-rubric/interview-transcript.txt,6;13;15;16;19,Adaptable source-format example,implemented
examples/editorial-rubric/scored-candidates.csv,6;13;15;16;19,Adaptable source-format example,implemented
examples/end-to-end/README.md,19,Complete local pipeline,implemented
examples/end-to-end/job.yaml,19,Complete local pipeline,implemented
examples/first-clip/README.md,1;2;7;8;9;10,Original phone-recording exercise,implemented
examples/fixtures/README.md,14;15;16;19,Synthetic patterns and tones for code tests,implemented
examples/fixtures/fixture-manifest.json,14;15;16;19,Synthetic patterns and tones for code tests,implemented
examples/fixtures/sample-audio.wav,14;15;16;19,Synthetic patterns and tones for code tests,generated fixture
examples/fixtures/sample-candidates.csv,14;15;16;19,Synthetic patterns and tones for code tests,implemented
examples/fixtures/sample-gaming.mp4,14;15;16;19,Synthetic patterns and tones for code tests,generated fixture
examples/fixtures/sample-livestream.mp4,14;15;16;19,Synthetic patterns and tones for code tests,generated fixture
examples/fixtures/sample-multispeaker.mp4,14;15;16;19,Synthetic patterns and tones for code tests,generated fixture
examples/fixtures/sample-podcast.mp4,14;15;16;19,Synthetic patterns and tones for code tests,generated fixture
examples/fixtures/sample-segments.json,14;15;16;19,Synthetic patterns and tones for code tests,implemented
examples/fixtures/sample-transcript.json,14;15;16;19,Synthetic patterns and tones for code tests,implemented
examples/fixtures/sample-youtube.mp4,14;15;16;19,Synthetic patterns and tones for code tests,generated fixture
examples/fixtures/sample.srt,14;15;16;19,Synthetic patterns and tones for code tests,implemented
examples/gaming/README.md,6;13;15;16;19,Adaptable source-format example,implemented
examples/gaming/job.yaml,6;13;15;16;19,Adaptable source-format example,implemented
examples/livestream/README.md,6;13;15;16;19,Adaptable source-format example,implemented
examples/livestream/job.yaml,6;13;15;16;19,Adaptable source-format example,implemented
examples/media-fixtures/README.md,6;13;15;16;19,Adaptable source-format example,implemented
examples/multi-creator-batch/README.md,26,Five-job failure and resume exercise,implemented
examples/multi-creator-batch/broken.csv,26,Five-job failure and resume exercise,implemented
examples/multi-creator-batch/fixed.csv,26,Five-job failure and resume exercise,implemented
examples/multi-speaker-podcast/README.md,6;13;15;16;19,Adaptable source-format example,implemented
